City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date 
mansoa,12.07,-15.32,82.96,71,36,7.9,GW,1592773833
gat,31.61,34.76,84.0,39,0,1.01,IL,1592773834
atambua,-9.11,124.89,69.67,87,79,5.01,ID,1592773835
seoul,37.57,126.98,69.8,100,0,2.24,KR,1592773813
nelson bay,-32.72,152.15,48.2,81,40,5.82,AU,1592773642
anori,-3.77,-61.64,86.97,63,57,3.04,BR,1592773840
sistranda,63.73,8.83,68.0,64,96,1.12,NO,1592773841
yumen,40.28,97.2,58.5,57,32,3.65,CN,1592773842
depalpur,22.85,75.55,80.53,73,100,12.71,IN,1592773843
wattegama,6.8,81.48,78.94,74,100,2.68,LK,1592773844
xiaoweizhai,26.19,107.51,71.78,94,98,4.63,CN,1592773845
impfondo,1.64,18.07,75.4,69,100,0.67,CG,1592773847
oranjemund,-28.55,16.43,56.79,81,0,7.65,NA,1592773849
kudahuvadhoo,2.67,72.89,83.52,74,82,9.71,MV,1592773850
lompoc,34.64,-120.46,69.01,64,10,16.11,US,1592773591
itajuipe,-14.68,-39.38,80.6,65,75,8.05,BR,1592773853
yulara,-25.24,130.99,35.6,69,0,8.05,AU,1592773819
popondetta,-8.75,148.25,72.99,92,0,2.3,PG,1592773855
salalah,17.02,54.09,82.4,94,75,4.7,OM,1592773596
evans,33.53,-82.13,96.01,36,75,10.29,US,1592773857
navahrudak,53.6,25.83,62.35,99,80,9.24,BY,1592773858
lere,10.39,8.57,73.06,83,45,5.75,NG,1592773860
solnechnyy,50.72,136.63,45.82,94,100,7.87,RU,1592773861
quelimane,-17.88,36.89,68.0,94,0,3.36,MZ,1592773862
salta,-24.79,-65.41,69.8,46,20,12.75,AR,1592773863
kirakira,-10.45,161.92,81.09,80,89,6.38,SB,1592773641
ravar,31.27,56.81,85.8,12,0,9.01,IR,1592773865
lupiro,-8.38,36.67,67.39,62,3,0.89,TZ,1592773866
karibib,-21.93,15.83,48.99,50,4,1.07,NA,1592773867
bairiki,1.33,172.98,82.4,83,75,5.82,KI,1592773868
syrskoye,52.57,39.5,60.8,100,40,11.18,RU,1592773869
raduzhnyy,62.1,77.47,49.69,94,93,9.51,RU,1592773872
moussoro,13.64,16.49,95.45,24,0,6.82,TD,1592773873
avera,33.19,-82.53,91.4,52,40,10.29,US,1592773603
katobu,-4.94,122.53,74.26,92,64,6.2,ID,1592773875
hobyo,5.35,48.53,79.81,72,61,27.74,SO,1592773877
ancud,-41.87,-73.82,48.0,100,90,14.99,CL,1592773878
mineral wells,32.81,-98.11,84.99,58,1,10.29,US,1592773880
bowen,-20.02,148.23,66.99,88,75,6.82,AU,1592773881
murmino,54.6,40.05,57.0,77,87,7.02,RU,1592773882
berdigestyakh,62.1,126.7,59.05,65,0,7.56,RU,1592773654
cerritos,33.86,-118.06,82.0,50,20,4.7,US,1592773711
perelyub,51.87,50.37,57.4,76,44,12.44,RU,1592773886
cabra,37.47,-4.44,81.0,30,0,3.42,ES,1592773887
bambanglipuro,-7.95,110.28,76.3,88,90,7.99,ID,1592773888
ende,-8.84,121.66,73.99,78,87,2.86,ID,1592773889
inverness,57.48,-4.22,55.99,76,28,9.17,GB,1592773854
clonakilty,51.62,-8.87,55.99,81,75,12.75,IE,1592773891
touros,-5.2,-35.46,78.8,78,20,10.29,BR,1592773843
porto novo,6.5,2.6,78.8,100,75,12.75,BJ,1592773893
axim,4.87,-2.24,77.0,86,100,12.19,GH,1592773894
abilene,32.45,-99.73,90.0,58,1,21.92,US,1592773754
zhaodong,46.08,125.98,69.01,100,100,2.24,CN,1592773897
cookeville,36.16,-85.5,80.6,61,75,13.87,US,1592773866
louny,50.36,13.8,63.0,67,91,3.0,CZ,1592773899
jardim,-21.48,-56.14,78.6,52,0,4.63,BR,1592773900
bolgatanga,10.79,-0.85,90.45,44,100,10.78,GH,1592773901
pemangkat,1.17,108.97,77.67,86,88,4.94,ID,1592773902
umm kaddadah,13.6,26.69,92.55,11,0,4.74,SD,1592773903
skjervoy,70.03,20.97,48.72,71,13,2.84,NO,1592773904
palmer,42.16,-72.33,91.4,36,75,4.7,US,1592773905
caravelas,-17.71,-39.25,70.97,71,0,3.96,BR,1592773906
san juan del sur,11.25,-85.87,80.6,78,75,21.77,NI,1592773908
aden,12.78,45.04,87.91,72,14,3.67,YE,1592773909
rio gallegos,-51.62,-69.22,37.4,93,97,2.24,AR,1592773849
ozernovskiy,51.5,156.52,47.37,76,43,2.24,RU,1592773912
guerrero negro,27.98,-114.06,72.64,51,1,18.41,MX,1592773914
nara,34.69,135.8,73.4,69,75,6.93,JP,1592773915
marathon,44.9,-89.77,77.0,53,20,9.17,US,1592773916
myaundzha,63.05,147.19,65.82,40,0,3.36,RU,1592773917
aksarka,66.56,67.8,43.34,82,98,3.91,RU,1592773919
arkhangelsk,64.54,40.54,42.8,100,13,3.36,RU,1592773920
manoel urbano,-8.84,-69.26,87.21,58,77,2.44,BR,1592773921
sinazongwe,-17.26,27.46,62.37,57,0,3.89,ZM,1592773922
ballina,-28.87,153.57,53.01,93,0,10.63,AU,1592773923
moorhead,46.87,-96.77,72.0,49,1,8.05,US,1592773924
dudinka,69.41,86.18,48.2,70,98,6.71,RU,1592773639
kaili,-3.46,120.21,68.38,93,72,1.41,ID,1592773926
wellington,-41.29,174.78,50.0,93,35,5.82,NZ,1592773922
nadym,65.53,72.52,44.76,94,8,9.75,RU,1592773929
jember,-8.17,113.7,72.27,86,45,0.98,ID,1592773930
pinawa,50.15,-95.88,57.33,81,90,9.66,CA,1592773931
ponta delgada,37.73,-25.67,68.0,82,75,8.05,PT,1592773932
kununurra,-15.77,128.73,71.6,39,0,9.17,AU,1592773933
muisne,0.6,-80.03,84.2,83,40,9.17,EC,1592773934
nuuk,64.18,-51.72,44.6,75,6,5.82,GL,1592773826
athabasca,54.72,-113.29,68.67,57,62,3.78,CA,1592773936
bilma,18.69,12.92,89.13,12,0,5.84,NE,1592773937
semey,50.41,80.23,46.4,46,12,8.95,KZ,1592773938
vanimo,-2.67,141.3,77.86,83,19,3.76,PG,1592773650
statesboro,32.45,-81.78,91.4,62,90,3.36,US,1592773941
camapua,-19.53,-54.04,77.0,42,0,3.27,BR,1592773942
hailar,49.2,119.7,55.4,73,93,4.85,CN,1592773943
santa maria,-29.68,-53.81,72.27,79,58,3.67,BR,1592773877
syracuse,37.09,15.28,69.8,73,20,5.82,IT,1592773946
shingu,33.73,135.98,65.66,92,100,18.72,JP,1592773927
hamilton,39.18,-84.53,75.0,78,90,4.72,US,1592773949
bathsheba,13.22,-59.52,86.0,70,40,23.04,BB,1592773950
okhotsk,59.38,143.3,50.2,78,100,4.09,RU,1592773951
kautokeino,69.01,23.04,59.13,43,17,5.77,NO,1592773952
hilton head island,32.22,-80.75,87.01,74,40,8.05,US,1592773954
lehigh acres,26.63,-81.62,89.6,70,75,8.05,US,1592773659
nalut,30.33,10.85,76.87,25,0,16.4,LY,1592773956
starychi,49.98,23.56,64.4,93,80,4.47,UA,1592773805
santiago de cuba,20.02,-75.82,87.8,70,20,9.17,CU,1592773958
warrington,53.39,-2.58,59.0,72,0,10.29,GB,1592773669
obihiro,42.92,143.2,51.82,88,66,1.97,JP,1592773960
taoudenni,22.68,-3.98,105.15,8,27,12.57,ML,1592773869
petropavlovsk-kamchatskiy,53.05,158.65,42.8,100,75,4.47,RU,1592773962
port hedland,-20.32,118.57,59.0,41,0,9.17,AU,1592773963
buraydah,26.33,43.98,87.8,29,0,11.41,SA,1592773680
dogondoutchi,13.64,4.03,99.14,21,51,9.73,NE,1592773683
stephenville,32.22,-98.2,84.99,58,1,11.41,US,1592773967
ulverstone,-41.15,146.17,48.99,78,79,2.21,AU,1592773968
fairbanks,64.84,-147.72,53.6,93,90,12.75,US,1592773969
hailey,43.52,-114.32,75.2,36,40,11.41,US,1592773970
saint-jovite,46.12,-74.6,89.6,40,75,8.05,CA,1592773971
nova olimpia,-14.8,-57.29,84.92,43,0,2.26,BR,1592773925
pathalgaon,22.57,83.47,75.31,94,73,1.72,IN,1592773973
pangai,-19.8,-174.35,80.6,88,75,5.82,TO,1592773974
san vicente,-26.62,-54.13,66.79,70,0,1.9,AR,1592773975
dubbo,-32.25,148.62,46.4,100,90,13.87,AU,1592773976
emerald,-23.53,148.17,60.8,48,75,10.29,AU,1592773977
khandyga,62.67,135.6,59.99,65,37,0.94,RU,1592773979
praia,14.92,-23.51,80.6,69,20,19.46,CV,1592773980
isla mujeres,21.23,-86.73,87.8,70,75,10.29,MX,1592773981
ayr,55.46,-4.63,55.4,82,40,4.7,GB,1592773982
cervo,43.67,-7.41,61.0,89,46,4.07,ES,1592773983
temba,-25.38,28.26,51.01,38,0,1.12,ZA,1592773984
marystown,47.17,-55.15,51.3,68,86,7.49,CA,1592773985
jacareacanga,-6.22,-57.75,86.52,58,53,1.92,BR,1592773986
sangar,63.92,127.47,63.7,62,0,7.4,RU,1592773878
kalianget,-7.05,113.93,80.1,79,52,11.34,ID,1592773989
juneau,58.3,-134.42,55.0,81,90,10.29,US,1592773921
pelym,61.01,62.0,44.51,89,98,7.7,RU,1592773991
kibaya,-5.3,36.57,56.12,84,17,4.92,TZ,1592773992
fereydun kenar,36.69,52.52,73.4,73,0,6.93,IR,1592773994
tateyama,34.98,139.87,70.0,98,100,5.01,JP,1592773995
antofagasta,-23.65,-70.4,60.8,72,20,12.75,CL,1592773997
natal,-5.79,-35.21,80.6,69,40,13.87,BR,1592773998
shimizu,43.01,142.88,51.21,87,97,3.58,JP,1592773999
luderitz,-26.65,15.16,53.6,93,0,6.93,NA,1592774001
milkovo,54.72,158.62,59.49,58,100,1.12,RU,1592774002
flin flon,54.77,-101.86,66.2,55,75,5.82,CA,1592774003
lastoursville,-0.81,12.73,73.87,85,44,2.1,GA,1592774005
tecoanapa,16.52,-98.75,88.34,57,36,11.25,MX,1592774007
kropotkin,45.44,40.58,65.41,88,89,2.71,RU,1592773908
kemin,42.78,75.69,63.57,36,0,5.61,KG,1592774009
lipovtsy,44.2,131.72,61.07,97,100,9.06,RU,1592774010
boyolangu,-8.12,111.89,74.79,89,77,3.22,ID,1592774011
uthal,25.81,66.62,83.98,77,32,3.74,PK,1592774013
husavik,66.04,-17.34,60.8,55,20,24.16,IS,1592774014
lodwar,3.12,35.6,84.11,50,19,2.33,KE,1592774015
qiyang,26.59,111.85,78.4,84,100,3.65,CN,1592774016
polewali,-3.43,119.34,75.24,82,6,3.8,ID,1592774017
anadyr,64.75,177.48,73.0,40,38,2.24,RU,1592774018
